Odin|Deus principal do clã dos Aesir, também conhecido como o pai de todos, era o deus da sabedoria, da guerra e da morte, embora também, em menor escala, da magia, da poesia, da profecia, da vitória e da caça. Era sobretudo adorado pelas classes sociais superiores.|Odin morava em Asgard, no palácio de Valaskjálf, que ele construiu para si, e onde se encontra seu trono, o Hliðskjálf, onde podia observar o que acontecia em cada um dos nove mundos, graças aos seus dois corvos Hugin e Munin. Durante o combate brandia sua lança, chamada Gungnir, e montava seu cavalo de oito patas, chamado Sleipnir.|Como deus da guerra, era encarregado de enviar suas "filhas", as valquírias, para recolher os corpos dos heróis mortos em combate,[9] os einherjar, que se sentam a seu lado no Valhalla de onde preside os banquetes. No fim dos tempos Odin conduzirá os deuses e os homens contra as forças do caos na batalha do fim do mundo, o Ragnarök. Nesta batalha o deus será morto e devorado pelo feroz lobo Fenrir, que será imediatamente morto por Vidar, que, com um pé sobre sua garganta, lhe arrancará a mandíbula.|Em muitas passagens, descrevem-se as andanças de Odin, em que se apresenta sob o disfarce de um viajante baixo e de cabelos escuros, envolvido numa enorme capa azul ou cinza, com um chapéu de abas largas, quebradas acima do olho perdido e o outro olho negro faiscante, como nas baladas édicas Vafþrúðnismál e no Grímnismál, e com os nomes significativos de Gagnrad (o que determina a vitória), Grimnir (o disfarçado), além do Hávalmál (parte III) e nos Baldrs Draumar, respectivamente com os nomes Hár (o elevado, o eminente, o sublime) e Vegtam (o acostumado aos caminhos).

Thor|É o deus nórdico, dos trovões e das batalhas. Pertence ao clã dos deuses Æsir, e é filho do deus Odin. Thor usa como arma o martelo Mjolnir, e tem o cinto Megingjord, que lhe dobra a força. Está associado aos trovões, relâmpagos, tempestades, árvores de carvalho, força, proteção da humanidade e também a santificação, cura e fertilidade.|Thor era grande para um deus, extremamente forte (podendo comer uma vaca em uma "refeição"). e adorava disputas de poder e era o principal campeão dos deuses contra seus inimigos, os gigantes de gelo. Os fazendeiros, que apreciavam sua honestidade simplória e repugnância contra o mal, veneravam Thor em vez de Odin, que era mais atraente para os que eram dotados de um espírito de ataque, ou que valorizavam a sabedoria.|A arma de Thor era um martelo de guerra mágico, chamado Mjolnir[9] com uma enorme cabeça e um cabo curto e que nunca errava o alvo e sempre retornava às suas mãos. Ele usava as luvas de ferro mágicas járngreipr para segurar o cabo do martelo e o cinturão Megingjard que aumentava sua força em dez vezes.|Teve também uma vida doméstica importante. Casou duas vezes, a primeira com a gigante Járnsaxa, que lhe deu um filho, Magni (força). Outro filho de nome Modi ("coragem") é também atestado nas fontes antigas, mas sem referir o nome da mãe.[10] E o segundo casamento, que foi muito mais importante no mito do deus Thor, foi com Sif, a bela dama dos cabelos tão louros como o ouro. Com ela teve uma filha: Thrud|Loki, apesar do talento desse embusteiro para colocar ambos em confusões. As histórias de suas aventuras estão entre as mais ricas da mitologia nórdica. No panteão nórdico, Thor era o destruidor do mal e o segundo maior expoente dos deuses Aesir. A imagem de Thor aparece em muitas estelas rúnicas assim como seu nome ou seu martelo.|Thor era um excelente guerreiro e já havia derrotado muitos gigantes, trolls, monstros, berserker e feras, segundo o Edda em Prosa. Thor percorria o mundo numa carruagem puxada por dois bodes chamados Tanngrísnir e Tanngnjóstr. Conta-se que quando Thor percorria o céu nessa carruagem as montanhas ruiam, e o barulho provocado pelas rodas do veículo originavam os trovões. Thor habitava em Thrudheimr (ou Thrudvangr) no salão Bilskirnir[2] onde ele recebia os pobres depois que haviam morrido. Esse salão possuía 540 acomodações e era considerada a maior de todas as construções. O mensageiro de Thor era o veloz Thjalfi e sua criada era Röskva, irmã de Thjalfi. Quando Thor estava longe de seu lar ele matava seus bodes e os comia, e depois os ressuscitava com martelo mágico. Thor é o criador da constelação conhecida pelos viquingues como Dedo de Aurvandill. Era Thor o deus que mais possuía templos na Escandinávia.

Tyr|É o deus Æsir do combate, do céu, da luz, dos juramentos e, por isso, patrono da justiça, precursor de Odin[2]. Ao tempo dos viquingues, Týr abriu caminho para Odin, que se tornou o deus da Guerra; filho do gigante do mar do inverno Hymir, passou a ser considerado filho de Odin, devido a sua coragem e heroísmo em batalha, representado por um homem sem a mão direita.|Ele perdeu a mão direita ao colocá-la na boca do deus-lobo Fenrir, que era a única forma de fazer o lobo ser preso nas cordas.|Seu símbolo é a lança, na mitologia nórdica tanto uma arma como um símbolo de justiça. É também identificado com a runa Tîwaz.

Baldur|É relacionado com a justiça e a sabedoria, e todos os deuses o louvam pela sua beleza[2].Segundo algumas fontes, este deus seria filho de Odin e Frigga, segundo outras seria apenas um "protegido" destes. Era, em qualquer dos casos, uma divindade da justiça e da sabedoria, e embora não pertencesse ao núcleo de deuses superiores, Aesir, era-lhe permitida a permanência em Asgard.|Balder é marido da bela Nana, uma deusa benevolente e bela, que se atirou em sua pira funerária para habitar em Hel com seu marido. São pais de Forseti, uma divindade da justiça, que alguns dizem presidir as Things (assembleias dos homens livres).|Balder disseminou a boa vontade e a paz em todos os lugares que visitou, o que fez dele um dos deuses mais amados. Sua popularidade e bondade inata atraíram a ira de Loki. Um dia, Balder passou a ser atormentado por estranhos pesadelos, um sinal de sua morte iminente, e isso acabou perturbando todos os deuses. Depois de muito investigar, Odin descobre das völva (sereias feiticeiras do submundo) o destino de Balder e toma algumas precauções para evitá-lo, enviando Frigga com a missão de obter um juramento de todos os seres vivos e não vivos de que jamais fariam mal a Balder. Porém, Loki se disfarça de mulher e tem uma conversa com Frigga, descobrindo que todos os seres, à exceção de uma pequena planta, o visco, prestaram juramento, pois Frigga a julgara pequena e inofensiva por esta ser ainda muito jovem. Aconteceu então uma festa em que todos os deuses se divertiam atiravando toda sorte de coisas em Balder, as quais sempre se desviavam de seu alvo. Havia um, porém, que não participava da brincadeira, Hoder (ou Hod), o irmão cego de Balder. Loki, disfarçado, pergunta a Hod por que ele também não participa da festa, e este responde que não sabia em que direção atirar. Aceitando a sugestão de Loki, Hod atira uma flecha feita de um ramo de visco no coração de Balder, que no mesmo instante cai morto. Frigga pede para Hermodr ir ao submundo trazê-lo de volta. Hela concorda, com a condição de que todos os seres vivos derramassem uma lágrima por Balder. Mas a tentativa é novamente frustrada por Loki, que disse que não o faria. Dessa forma, Balder não pôde ser ressuscitado.

Loki|É um deus ou um gigante da mitologia nórdica. Deus da trapaça e da travessura, também está ligado à magia e pode assumir a forma que quiser. Ele não pertence aos Aesir, embora viva com eles. É frequentemente considerado um símbolo da maldade, traiçoeiro, de pouca confiança; e, embora suas artimanhas geralmente causem problemas a curto prazo aos deuses, estes frequentemente se beneficiam, no fim, das travessuras de Loki. Ele está entre as figuras mais complexas da mitologia nórdica.|Ele possui um grande senso de estratégia e usa suas habilidades para seus interesses, envolvendo intriga e mentiras complexas. Sendo um misto de deus e gigante, sua relação com os outros deuses é conturbada. Segundo as lendas nórdicas ele iria liderar um exército no Ragnarok. Entretanto, ele é respeitado por Thor. Ele também ajuda Thor a recuperar seu martelo Mjölnir, roubado pelos gigantes, obtém alguns dos artefatos mais preciosos dos deuses - como a própria Gungnir, a lança de Odin, Gungnir, os cabelos de ouro de Sif e o navio mágico de Freyr, Skidbladnir.|As ações de Loki mostram seu lado maléfico por boas causas, estas geralmente contra sua intenção original. Entretanto, ele não é considerado perigoso; sua criatividade é usada pelos outros deuses para lidar com situações sem esperança. Uma das teorias sobre o Deus argumenta que seu lado demoníaco e destrutivo é exclusivo duma perspectiva cristã. Muitos os consideram um trapaceiro que, apesar de seu indubitável lado mau, acaba se tornando um dos principais aliados dos deuses; além disso, ele representa o toque de caos necessário para que possa haver evolução. Conceitos cristãos introduzidos mais tarde na Escandinávia acabaram por destacar apenas suas piores características.

Freya| É uma das deusas mais antigas na antiga religião germânica, da qual se preservaram numerosos relatos que a envolvem ou a descrevem, devido ao fato de que as fontes mais bem documentadas desta tradição religiosa foram transmitidas ou alteradas por historiadores cristãos medievais e em muitos casos escritas mais de um século e meio mais tarde.[4] Ela é associada ao amor, fertilidade, beleza, riqueza, magia, guerra e morte.|É também a deusa da magia, da adivinhação, da riqueza (as suas lágrimas transformavam-se em ouro), da sabedoria e líder das valquírias (condutoras das almas dos mortos em combate).|Usava o colar de Brisingamen, supostamente feito de ouro, o colar representava o Sol e o ciclo do dia e noite, de acordo com as notas de Saxão Gramático o colar estava entre os objetos dados aos deuses por Alberich. Em uma parte do poema Húsdrápa,[13] na Edda em prosa (Skaldskaparmal) é relatado o roubo do colar por parte de Loki, colar este que era considerado um tesouro de grande valor e beleza, quando Freia deu-se conta, do desaparecimento de seu colar solicitou a ajuda de Heimdall.



















